01.04.2020;16:56; Stillen
01.04.2020;17:00; Einschlafen
01.04.2020;17:23; Aufwachen
01.04.2020;18:43; Brei
01.04.2020;19:33; Stillen
01.04.2020;19:40; Einschlafen
01.04.2020;23:13; Stillen
02.04.2020;01:11; Stillen
02.04.2020;05:21; Stillen
02.04.2020;06:33; Stillen
02.04.2020;08:00; Aufwachen
02.04.2020;10:11; Einschlafen
02.04.2020;10:58; Aufwachen
02.04.2020;12:04; Brei
02.04.2020;12:51; Stillen
02.04.2020;14:30; Einschlafen 
02.04.2020;14:45; Stillen
02.04.2020;15:00; Aufwachen
02.04.2020;17:15; Einschlafen
02.04.2020;17:45; Aufwachen
02.04.2020;18:04; Brei
02.04.2020;19:39; Stillen
02.04.2020;20:19; Stillen
02.04.2020;20:24; Einschlafen
02.04.2020;23:29; Stillen
03.04.2020;01:13; Stillen
03.04.2020;06:45; Stillen
03.04.2020;08:47; Aufwachen
03.04.2020;10:18; Einschlafen
03.04.2020;11:27; Aufwachen
03.04.2020;13:02; Stillen
03.04.2020;14:13; Stillen
03.04.2020;14:21; Einschlafen
03.04.2020;15:16; Aufwachen
03.04.2020;15:20; Stillen
03.04.2020;15:30; Einschlafen
03.04.2020;16:24; Aufwachen
03.04.2020;19:34; Stillen
03.04.2020;19:51; Einschlafen
04.04.2020;00:06; Stillen
04.04.2020;04:07; Stillen
04.04.2020;06:29; Stillen
04.04.2020;08:00; Aufwachen
04.04.2020;10:20; Einschlafen
04.04.2020;11:20; Aufwachen
04.04.2020;11:50; Brei
04.04.2020;13:11; Stillen
04.04.2020;14:01; Stillen
04.04.2020;14:08; Einschlafen
04.04.2020;14:32; Aufwachen
04.04.2020;15:53; Einschlafen
04.04.2020;16:13; Aufwachen
04.04.2020;17:08; Stillen
04.04.2020;18:50; Einschlafen
04.04.2020;19:06; Aufwachen
04.04.2020;19:15; Brei
04.04.2020;19:35; Stillen
04.04.2020;19:50; Einschlafen
04.04.2020;22:47; Stillen
05.04.2020;01:18; Stillen
05.04.2020;04:58; Stillen
05.04.2020;06:28; Aufwachen
05.04.2020;06:51; Stillen
05.04.2020;08:35; Einschlafen
05.04.2020;08:46; Stillen
05.04.2020;09:16; Aufwachen
05.04.2020;10:33; Einschlafen
05.04.2020;11:00; Aufwachen
05.04.2020;12:40; Brei
05.04.2020;14:45; Stillen
05.04.2020;14:54; Einschlafen
05.04.2020;15:00; Aufwachen
05.04.2020;17:05; Einschlafen
05.04.2020;17:00; Stillen
05.04.2020;17:21; Stillen
05.04.2020;17:25; Aufwachen
05.04.2020;18:45; Stillen
05.04.2020;18:49; Einschlafen
05.04.2020;22:40; Stillen
06.04.2020;04:36; Stillen
06.04.2020;07:37; Stillen
06.04.2020;07:40; Aufwachen
06.04.2020;12:16; Brei
06.04.2020;12:51; Einschlafen
06.04.2020;13:12; Aufwachen
06.04.2020;13:44; Stillen
06.04.2020;15:30; Stillen
06.04.2020;16:44; Einschlafen
06.04.2020;17:12; Aufwachen
06.04.2020;17:28; Stillen
06.04.2020;18:12; Brei
06.04.2020;19:37; Stillen
06.04.2020;20:01; Stillen
06.04.2020;20:08; Einschlafen
06.04.2020;22:59; Stillen
07.04.2020;00:51; Stillen
07.04.2020;03:13; Stillen
07.04.2020;05:17; Stillen
07.04.2020;07:10; Aufwachen
07.04.2020;09:13; Einschlafen
07.04.2020;09:45; Aufwachen
07.04.2020;12:28; Einschlafen
07.04.2020;13:32; Aufwachen
07.04.2020;13:53; Brei
07.04.2020;15:14; Stillen
07.04.2020;16:09; Einschlafen
07.04.2020;16:42; Aufwachen
07.04.2020;18:04; Stillen
07.04.2020;18:19; Stillen
07.04.2020;19:45; Stillen
07.04.2020;19:54; Einschlafen
07.04.2020;21:57; Stillen
07.04.2020;23:35; Stillen
19.04.2020;04:00; Stillen
19.04.2020;05:23; Stillen
19.04.2020;07:36; Aufwachen
19.04.2020;10:05; Einschlafen 
19.04.2020;10:27; Aufwachen
19.04.2020;11:08; Einschlafen
19.04.2020;11:47; Aufwachen
19.04.2020;12:07; Brei
19.04.2020;14:23; Stillen
19.04.2020;14:32; Einschlafen
19.04.2020;15:02; Aufwachen
19.04.2020;16:46; Einschlafen
19.04.2020;17:20; Aufwachen
19.04.2020;17:45; Brei
19.04.2020;19:30; Stillen
19.04.2020;20:17; Einschlafen
19.04.2020;23:01; Stillen
20.04.2020;02:37; Stillen
20.04.2020;03:59; Stillen
20.04.2020;06:46; Aufwachen
20.04.2020;09:39; Einschlafen
20.04.2020;10:13; Aufwachen
20.04.2020;11:52; Brei
20.04.2020;13:00; Einschlafen
20.04.2020;13:30; Aufwachen
20.04.2020;15:23; Stillen
20.04.2020;16:25; Einschlafen
20.04.2020;16:55; Aufwachen
20.04.2020;18:00; Brei
20.04.2020;19:11; Stillen
20.04.2020;19:24; Einschlafen
20.04.2020;20:14; Stillen
20.04.2020;22:19; Stillen
21.04.2020;00:10; Stillen
21.04.2020;03:17; Stillen
21.04.2020;05:31; Stillen
21.04.2020;08:00; Aufwachen
21.04.2020;10:24; Einschlafen
21.04.2020;11:07; Aufwachen
21.04.2020;11:51; Brei
21.04.2020;13:46; Stillen
21.04.2020;13:56; Einschlafen
21.04.2020;14:12; Aufwachen
21.04.2020;15:51; Einschlafen
21.04.2020;16:17; Aufwachen
21.04.2020;16:36; Stillen
21.04.2020;18:24; Brei 
